'lot', 1, 0, 7, 17, 0
'Follow', 1, 1, 0, 4, 0
'had', 1, 0, 3, 17, 0
'UFC', 1, 1, 0, 16, 0
'in', 1, 0, 12, 16, 0
'poster', 1, 0, 8, 17, 0
'of', 1, 0, 10, 14, 0
'the', 1, 0, 9, 11, 0
'draw', 1, 0, 21, 23, 0
'of', 1, 0, 13, 16, 0
'that', 1, 0, 1, 18, 0
'a', 1, 0, 10, 23, 0
'to', 1, 0, 3, 8, 0
'The', 1, 1, 0, 8, 0
'will', 1, 0, 1, 15, 0
'at', 1, 0, 5, 7, 0
"didn't", 1, 0, 2, 4, 0
'goal', 1, 0, 10, 11, 0
'extremely', 1, 0, 3, 5, 0
'came', 1, 0, 2, 24, 0
'N', 1, 1, 0, 1, 0
'have', 1, 0, 9, 31, 0
'intricate', 1, 0, 9, 12, 0
'"So', 1, 0, 0, 7, 0
'All-Star', 1, 1, 5, 17, 0
'out', 1, 0, 3, 7, 0
'came', 1, 0, 6, 25, 0
'at', 1, 0, 3, 10, 0
'Dame', 1, 1, 16, 19, 0
'front', 1, 0, 11, 22, 0
'first', 1, 0, 4, 14, 0
'win', 1, 0, 7, 9, 0
'attempt', 1, 0, 16, 20, 0
'it', 1, 0, 5, 11, 0
'take', 1, 0, 7, 19, 0
'Stuart', 1, 1, 6, 10, 0
'He', 1, 1, 0, 6, 0
"I'm", 1, 1, 0, 5, 0
'has', 1, 0, 1, 14, 0
'told', 1, 0, 0, 7, 0
'beat', 1, 0, 3, 7, 0
"men's", 1, 0, 5, 7, 0
'vowed', 1, 0, 4, 12, 0
'probably', 1, 0, 4, 6, 0
'who', 1, 0, 0, 17, 0
'until', 1, 0, 12, 33, 0
'one', 1, 0, 17, 35, 0
"''We", 1, 0, 0, 5, 0
'GB', 1, 1, 18, 22, 0
'to', 1, 0, 13, 28, 0
'Saturday', 1, 1, 17, 18, 0
'omitted', 1, 0, 13, 22, 0
'well', 1, 0, 2, 3, 0
'with', 1, 0, 5, 8, 0
'double', 1, 0, 14, 16, 0
'off', 1, 0, 6, 10, 0
'into', 1, 0, 8, 18, 0
'there', 1, 0, 1, 9, 0
'trying', 1, 0, 0, 22, 0
'who', 1, 0, 0, 11, 0
'claim', 1, 0, 12, 33, 0
'drafts', 1, 0, 29, 33, 0
'of', 1, 0, 5, 16, 0
'is', 1, 0, 3, 8, 0
'of', 1, 0, 1, 12, 0
'the', 1, 0, 16, 18, 0
'the', 1, 0, 9, 11, 0
'with', 1, 0, 6, 22, 0
"didn't", 1, 0, 9, 13, 0
'to', 1, 0, 16, 29, 0
'was', 1, 0, 1, 8, 0
'win', 1, 0, 6, 30, 0
'game', 1, 0, 19, 21, 0
'this', 1, 0, 9, 11, 0
'needs', 1, 0, 1, 15, 0
'scored', 1, 0, 2, 13, 0
'the', 1, 0, 4, 13, 0
'Angeles', 1, 1, 2, 7, 0
"don't", 1, 0, 1, 14, 0
'circumstances', 1, 0, 7, 19, 0
'get', 1, 0, 3, 6, 0
'that', 1, 0, 7, 18, 0
'aces', 1, 0, 2, 6, 0
'if', 1, 0, 3, 12, 0
'beginning', 1, 0, 8, 12, 0
'other', 1, 0, 9, 17, 0
'from', 1, 0, 9, 11, 0
'it', 1, 0, 12, 23, 0
'youth', 1, 0, 8, 9, 0
'going', 1, 0, 15, 35, 0
'to', 1, 0, 26, 29, 0
'this', 1, 0, 20, 22, 0
'on', 1, 0, 15, 19, 0
'first', 1, 0, 14, 18, 0
'he', 1, 0, 7, 14, 0
'Olympic', 1, 1, 0, 9, 0
'New', 1, 1, 6, 17, 0
'next', 1, 0, 20, 22, 0
"''", 1, 0, 0, 3, 0
'to', 1, 0, 2, 10, 0
'first', 1, 0, 1, 6, 0
'history', 1, 0, 5, 6, 0
'ice', 1, 0, 28, 31, 0
'to', 1, 0, 10, 17, 0
'lead', 1, 0, 4, 17, 0
'national', 1, 0, 5, 7, 0
'hand', 1, 0, 5, 8, 0
'join', 1, 0, 6, 11, 0
'hesitant', 1, 0, 2, 3, 0
'score', 1, 0, 24, 25, 0
'which', 1, 0, 10, 23, 0
'are', 1, 0, 2, 16, 0
'his', 1, 0, 5, 8, 0
'with', 1, 0, 22, 27, 0
'induce', 1, 0, 15, 33, 0
"isn't", 1, 0, 1, 11, 0
'Lakers', 1, 1, 17, 29, 0
'the', 1, 0, 20, 25, 0
'amazingly', 1, 0, 2, 4, 0
'said', 1, 0, 2, 3, 0
'also', 1, 0, 1, 8, 0
'win', 1, 0, 7, 8, 0
'the', 1, 0, 3, 6, 0
'individual', 1, 0, 1, 8, 0
'way', 1, 0, 19, 21, 0
'to', 1, 0, 2, 14, 0
'Porto', 1, 1, 7, 9, 0
'an', 1, 0, 15, 20, 0
'no', 1, 0, 3, 9, 0
'was', 1, 0, 9, 16, 0
'targets', 1, 0, 9, 21, 0
'the', 1, 0, 1, 10, 0
'such', 1, 0, 17, 18, 0
'whole', 1, 0, 2, 24, 0
"doesn't", 1, 0, 1, 10, 0
'spin', 1, 0, 6, 22, 0
'You', 1, 1, 0, 16, 0
'playing', 1, 0, 10, 16, 0
'terrific', 1, 0, 18, 23, 0
'as', 1, 0, 3, 14, 0
'has', 1, 0, 6, 20, 0
'very', 1, 0, 18, 20, 0
'and', 1, 0, 14, 17, 0
'the', 1, 0, 8, 23, 0
'the', 1, 0, 17, 32, 0
'in', 1, 0, 2, 4, 0
'to', 1, 0, 7, 10, 0
'Thursday', 1, 1, 3, 6, 0
'want', 1, 0, 1, 10, 0
'anybody', 1, 0, 10, 12, 0
'to', 1, 0, 6, 11, 0
'practice', 1, 0, 2, 4, 0
'tests', 1, 0, 15, 16, 0
'the', 1, 0, 6, 17, 0
'Lakers', 1, 1, 6, 13, 0
'the', 1, 0, 16, 27, 0
'its', 1, 0, 23, 25, 0
'refused', 1, 0, 1, 6, 0
'in', 1, 0, 10, 13, 0
'Florida', 1, 1, 11, 12, 0
'two', 1, 0, 20, 22, 0
'Belfast', 1, 1, 1, 18, 0
'January', 1, 1, 1, 2, 0
'felt', 1, 0, 6, 9, 0
'leg', 1, 0, 5, 17, 0
"they're", 1, 0, 1, 7, 0
'break', 1, 0, 5, 7, 0
'adrift', 1, 0, 1, 2, 0
'arriving', 1, 0, 4, 23, 0
